ticker,sector,fiscal_year,cash_pct,receivables_pct,inventory_pct,dso,dio,dpo,ccc,revenue,cogs,cash,accounts_receivable,inventory,accounts_payable,current_assets,current_liabilities,total_assets
WMT,Retail Tradicional,2026,12.64,13.16,69.34,5.72,40.12,42.99,2.85,713163000000.0,535395000000.0,10727000000.0,11172000000.0,58851000000.0,63061000000.0,84874000000.0,107469000000.0,284668000000.0
WMT,Retail Tradicional,2025,11.37,12.55,71.02,5.35,40.25,41.84,3.76,680985000000.0,511753000000.0,9037000000.0,9975000000.0,56435000000.0,58666000000.0,79458000000.0,96584000000.0,260823000000.0
WMT,Retail Tradicional,2024,12.83,11.44,71.4,4.95,40.88,42.31,3.52,648125000000.0,490142000000.0,9867000000.0,8796000000.0,54892000000.0,56812000000.0,76877000000.0,92415000000.0,252399000000.0
WMT,Retail Tradicional,2023,11.4,10.49,74.78,4.74,44.53,42.3,6.97,611289000000.0,463721000000.0,8625000000.0,7933000000.0,56576000000.0,53742000000.0,75655000000.0,92198000000.0,243197000000.0
TGT,Retail Tradicional,2026,27.43,6.32,61.5,4.41,59.47,61.01,2.87,104780000000.0,75511000000.0,5488000000.0,1265000000.0,12304000000.0,12622000000.0,20005000000.0,21230000000.0,59490000000.0
TGT,Retail Tradicional,2025,24.48,5.13,65.49,3.42,60.78,62.28,1.92,106566000000.0,76502000000.0,4762000000.0,998000000.0,12740000000.0,13053000000.0,19454000000.0,20799000000.0,57769000000.0
TGT,Retail Tradicional,2024,21.75,5.09,67.93,3.03,55.74,56.74,2.03,107412000000.0,77828000000.0,3805000000.0,891000000.0,11886000000.0,12098000000.0,17498000000.0,19304000000.0,55356000000.0
TGT,Retail Tradicional,2023,12.49,6.55,75.64,3.91,59.86,59.81,3.96,109120000000.0,82306000000.0,2229000000.0,1169000000.0,13499000000.0,13487000000.0,17846000000.0,19500000000.0,53335000000.0
COST,Retail Tradicional,2025,36.9,8.35,47.2,4.25,27.56,30.1,1.71,275235000000.0,239886000000.0,14161000000.0,3203000000.0,18116000000.0,19783000000.0,38380000000.0,37108000000.0,77099000000.0
COST,Retail Tradicional,2024,28.93,7.95,54.45,3.9,30.61,31.88,2.63,254453000000.0,222358000000.0,9906000000.0,2721000000.0,18647000000.0,19421000000.0,34246000000.0,35464000000.0,69831000000.0
COST,Retail Tradicional,2023,38.18,6.37,46.41,3.44,28.59,30.02,2.01,242290000000.0,212586000000.0,13700000000.0,2285000000.0,16651000000.0,17483000000.0,35879000000.0,33583000000.0,68994000000.0
COST,Retail Tradicional,2022,31.21,6.85,54.77,3.6,32.78,32.67,3.71,226954000000.0,199382000000.0,10203000000.0,2241000000.0,17907000000.0,17848000000.0,32696000000.0,31998000000.0,64166000000.0
HD,Retail Tradicional,2026,4.04,14.63,75.07,11.15,85.81,38.19,58.76,164683000000.0,109818000000.0,1389000000.0,5030000000.0,25817000000.0,11491000000.0,34391000000.0,32424000000.0,105095000000.0
HD,Retail Tradicional,2025,5.24,13.63,74.02,9.88,80.59,41.03,49.45,159514000000.0,106206000000.0,1659000000.0,4319000000.0,23451000000.0,11938000000.0,31683000000.0,28661000000.0,96119000000.0
HD,Retail Tradicional,2024,12.63,9.25,70.45,6.58,75.28,36.02,45.84,152669000000.0,101709000000.0,3760000000.0,2753000000.0,20976000000.0,10037000000.0,29775000000.0,22015000000.0,76530000000.0
HD,Retail Tradicional,2023,8.49,8.69,76.64,6.54,86.82,39.92,53.44,157403000000.0,104625000000.0,2757000000.0,2822000000.0,24886000000.0,11443000000.0,32471000000.0,23110000000.0,76445000000.0
KR,Retail Tradicional,2026,22.99,15.11,47.51,5.42,22.21,33.81,-6.17,147642000000.0,113240000000.0,3334000000.0,2192000000.0,6892000000.0,10488000000.0,14505000000.0,18108000000.0,49953000000.0
KR,Retail Tradicional,2025,25.92,14.37,46.08,5.45,22.59,32.49,-4.46,147123000000.0,113720000000.0,3959000000.0,2195000000.0,7038000000.0,10124000000.0,15273000000.0,15940000000.0,52616000000.0
KR,Retail Tradicional,2024,14.54,16.5,54.87,5.2,22.23,32.48,-5.05,150039000000.0,116675000000.0,1883000000.0,2136000000.0,7105000000.0,10381000000.0,12948000000.0,16058000000.0,50505000000.0
KR,Retail Tradicional,2023,8.01,17.63,59.67,5.5,23.69,31.9,-2.71,148258000000.0,116480000000.0,1015000000.0,2234000000.0,7560000000.0,10179000000.0,12670000000.0,17238000000.0,49623000000.0
DG,Retail Tradicional,2026,14.42,0.22,80.17,0.15,78.01,49.92,28.24,42724369000.0,29624680000.0,1138501000.0,17158000.0,6331861000.0,4051592000.0,7897803000.0,6961135000.0,30963730000.0
DG,Retail Tradicional,2025,11.42,1.56,82.21,1.14,85.67,48.93,37.88,40612308000.0,28594811000.0,932576000.0,127132000.0,6711242000.0,3833133000.0,8163925000.0,6868702000.0,31132733000.0
DG,Retail Tradicional,2024,6.71,1.4,87.31,1.06,94.65,48.55,47.16,38691609000.0,26972585000.0,537283000.0,112262000.0,6994266000.0,3587374000.0,8010724000.0,6725701000.0,30795591000.0
DG,Retail Tradicional,2023,5.03,1.79,89.18,1.31,94.82,49.83,46.3,37844863000.0,26024765000.0,381576000.0,135775000.0,6760733000.0,3552991000.0,7581009000.0,5887768000.0,29083367000.0
ANF,Fast Fashion / Apparel,2026,46.02,8.89,36.43,10.17,108.16,67.91,50.43,5266292000.0,2028884000.0,759540000.0,146757000.0,601218000.0,377465000.0,1650464000.0,1106000000.0,3541874000.0
ANF,Fast Fashion / Apparel,2025,46.18,6.29,34.36,7.77,118.31,75.01,51.08,4948587000.0,1773926000.0,772727000.0,105324000.0,575005000.0,364532000.0,1673431000.0,1126944000.0,3299887000.0
